OBJECTID,ResourceAgencyNum,PublicName,AltName1,AltName2,AltName3,AltName4,AltName5,AltName6,AltName7,AltName8,AltName9,AltName10,AltName11,AltName12,AltName13,AltName14,AltName15,AltName16,AltName17,AltName18,AltName19,AltName20,AltName21,AltName22,AltName23,AltName24,AltName25
1,71953120,"519 Community Centre - Family, Youth and Children programs",Daddies and Papas 2B,"Daddy, Papa and Me",Dykes Planning Tykes,EarlyON Child and Family Centre,Growing Up Healthy Downtown,KAAS,Kids Action and Art Space,Mums the World,Queer Parenting Program,Trans Youth Mentorship Program,Trans Youth Toronto,TYMP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,69796335,Access for Parents and Children in ON - Access for Parents and Children in ON,APCO,CV19,Emergency Virtual Supervised Access,EVSA,Ontario Access for Parents and Children,Supervised Access Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,69800115,Adoption Council of ON - Adoption Council of ON,ACO,Adopt Ontario,Adoption Resource Centre,AdoptOntario,Ask An Adoption Professional,CV19,Ontario Adoption Council,Permanency and Adoption Competency Training (PACT),Permanency and Adoption Support,Youth Network,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,69794092,Agincourt Community Services Association - Child and Family Centre,ACSA,Big Kids Club,Big Kids/Kindergarten Readiness Club,Cooking classes,Creative Play,CV19,Kindergarten Readiness Club,EarlyON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,69799789,Albion Neighbourhood Services - Albion Boys and Girls Club,ANS,CV19,Rexdale Community Hub,Rexdale Multiservice Hub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,69794144,Applegrove Community Complex - Applegrove Parent Child Drop-In Centre,CV19,EarlyON Child and Family Centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,69800816,Arrabon House - Arrabon House,Arrabon House Inc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,69800819,Arrabon House - Transitional Housing and Hope for Youth Aftercare Program,Arrabon House Inc,Hope for Youth Aftercare Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,69794195,"BBYO ON - BBYO ON, TO",Bnai Brith Youth Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,69795184,Belka Enrichment Center - Belka Enrichment Center,BEGEN,Belka Enrichment Centre,Belka Global Educational Network,Caribbean Global Missions,CV19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
