OBJECTID,ResourceAgencyNum,PublicName,AlternateName,HdNumNew,HDNAMENEW,Category,MERGE_SRC,HoodName,HoodID
1,71953120,"519 Community Centre - Family, Youth and Children programs","Daddies and Papas 2B; Daddy, Papa and Me; Dykes Planning Tykes; EarlyON Child and Family Centre; Growing Up Healthy Downtown; KAAS; Kids Action and Art Space; Mums the World; Queer Parenting Program; Trans Youth Mentorship Program; Trans Youth Toronto; TYMP",167,Church-Wellesley,"Child Care,Family & Youth","Child Care, Youth & Family",Church-Yonge Corridor,75
2,69796335,Access for Parents and Children in Ontario - Access for Parents and Children in Ontario,APCO; CV19; Emergency Virtual Supervised Access; EVSA; Ontario Access for Parents and Children; Supervised Access Program,152,Dunforest-Hollywood,"Child Care,Family & Youth","Child Care, Youth & Family",Willowdale East,51
3,69800115,Adoption Council of Ontario - Adoption Council of Ontario,ACO; Adopt Ontario; Adoption Resource Centre; AdoptOntario; Ask An Adoption Professional; CV19; Ontario Adoption Council; Permanency and Adoption Competency Training (PACT); Permanency and Adoption Support; Youth Network,100,Yonge-Eglinton,"Child Care,Family & Youth","Child Care, Youth & Family",Yonge-Eglinton,100
4,69794092,Agincourt Community Services Association - Child and Family Centre,ACSA; Big Kids Club; Big Kids/Kindergarten Readiness Club; Cooking classes; Creative Play; CV19; Kindergarten Readiness Club; EarlyON ,128,Agincourt South,"Child Care,Family & Youth","Child Care, Youth & Family",Agincourt South-Malvern West,128
5,69799789,Albion Neighbourhood Services - Albion Boys and Girls Club,ANS; CV19; Rexdale Community Hub; Rexdale Multiservice Hub,2,Mount Olive-Silverstone-Jamestown,"Child Care,Family & Youth","Child Care, Youth & Family",Mount Olive-Silverstone-Jamestown,2
6,69794144,Applegrove Community Complex - Applegrove Parent Child Drop-In Centre,CV19; EarlyON Child and Family Centre,65,Greenwood-Coxwell,"Child Care,Family & Youth","Child Care, Youth & Family",Greenwood-Coxwell,65
7,69800816,Arrabon House - Arrabon House,Arrabon House Inc,85,South Parkdale,"Child Care,Family & Youth","Child Care, Youth & Family",South Parkdale,85
8,69800819,Arrabon House - Transitional Housing and Hope for Youth Aftercare Program,Arrabon House Inc; Hope for Youth Aftercare Program,106,Humewood-Cedarvale,"Child Care,Family & Youth","Child Care, Youth & Family",Humewood-Cedarvale,106
9,69794195,"BBYO Ontario - BBYO Ontario, Toronto",Bnai Brith Youth Organization,35,Westminster-Branson,"Child Care,Family & Youth","Child Care, Youth & Family",Westminster-Branson,35
10,69795184,Belka Enrichment Center - Belka Enrichment Center,BEGEN; Belka Enrichment Centre; Belka Global Educational Network; Caribbean Global Missions; CV19,24,Black Creek,"Child Care,Family & Youth","Child Care, Youth & Family",Black Creek,24
11,69794253,Big Brothers Big Sisters of Toronto - Big Brothers Big Sisters of Toronto,"BBBST; Big Brothers Big Sisters of Canada; Big Couples; CV19; Game On!; Go Girls! Healthy Bodies Healthy Minds; Pumped for Post-Secondary; Rexdale Multiservice Hub; The Hub, mid-Scarborough; Toronto Big Brothers and Big Sisters",173,North Toronto,"Child Care,Family & Youth","Child Care, Youth & Family",Mount Pleasant West,104
12,69816612,Black Youth Helpline - Black Youth Helpline,BYH; CBX2 ; CV19,27,York University Heights,"Child Care,Family & Youth","Child Care, Youth & Family",York University Heights,27
13,69794697,Black Youth Helpline - Stay-in-School Program and Youth Support Services,BYH,27,York University Heights,"Child Care,Family & Youth","Child Care, Youth & Family",York University Heights,27
14,69797651,Blake Boultbee Youth Outreach Service - Blake Boultbee Youth Outreach Service,BBYOS; CV19,69,Blake-Jones,"Child Care,Family & Youth","Child Care, Youth & Family",Blake-Jones,69
15,69799043,Boys and Girls Club of East Scarborough - Boys and Girls Club of East Scarborough,CV19; Early Years Centre; EarlyON Child and Family Centre; EYC; OEYC; Ontario Early Years Centre; Stay in School; Toronto Space Inventory Pilot,136,West Hill,"Child Care,Family & Youth","Child Care, Youth & Family",West Hill,136
16,69799032,Boys and Girls Club of East Scarborough - Corvette EarlyON Child and Family Centre,CV19; Good Food Box; Toronto Space Inventory Pilot,124,Kennedy Park,"Child Care,Family & Youth","Child Care, Youth & Family",Kennedy Park,124
17,69799041,Boys and Girls Club of East Scarborough - Galloway EarlyON Child and Family Centre,CV19; EarlyON Child and Family Centre; Galloway Family Resource Centre; Good Food Box; OEYC; Ontario Early Years Centre; Toronto Space Inventory Pilot,136,West Hill,"Child Care,Family & Youth","Child Care, Youth & Family",West Hill,136
18,69799035,Boys and Girls Club of East Scarborough - Mornelle EarlyON Child and Family Centre,CV19; EarlyON Child and Family Centre; Good Food Box; Mornelle Family Resource Centre; OEYC; Ontario Early Years Centre; Toronto Space Inventory Pilot,135,Morningside,"Child Care,Family & Youth","Child Care, Youth & Family",Morningside,135
19,69799038,Boys and Girls Club of East Scarborough - Orchard Park EarlyON Child and Family Centre,CV19; Early Years Centre; EarlyON Child and Family Centre; EYC; OEYC; Ontario Early Years Centres; Toronto Space Inventory Pilot,136,West Hill,"Child Care,Family & Youth","Child Care, Youth & Family",West Hill,136
20,69794278,Braeburn Neighbourhood Place - Braeburn Neighbourhood Place,Braeburn Boys and Girls Club; CV19; Early Years Centre; EarlyON Child and Family Centre; EYC; Neighbourhood Place; OEYC,5,Elms-Old Rexdale,"Child Care,Family & Youth","Child Care, Youth & Family",Elms-Old Rexdale,5
21,69799249,Cabbagetown Community Arts Centre - Cabbagetown Community Arts Centre,,73,Moss Park,"Child Care,Family & Youth","Child Care, Youth & Family",Moss Park,73
22,69794179,Canadian Centre for Men and Families - Canadian Centre for Men and Families,Centre canadien pour les hommes de Toronto,71,Cabbagetown-South St.James Town,"Child Care,Family & Youth","Child Care, Youth & Family",Cabbagetown-South St.James Town,71
23,69801657,Canadian Safe School Network - Canadian Safe School Network,CSSN; Safe School Network,162,West Queen West,"Child Care,Family & Youth","Child Care, Youth & Family",Niagara,82
24,69800507,Canadian Tamil Youth Development Centre - Canadian Tamil Youth Development Centre,CanTYD; IMPACT; Medai Konal; Project Empowerment; Project THAMIL; Selvys Circle; Selvy's Circle; Tamil Youth Centre; Tamils Helping and Motivating to Inspire Leadership,142,Woburn North,"Child Care,Family & Youth","Child Care, Youth & Family",Woburn,137
25,69977374,Catholic Children's Aid Society of Toronto - Adoption and Disclosure Services,"CAS; Catholic Childrens Aid Society; CCAS; CCAST; Children's Aid Society of Toronto, Catholic; CV19; Toronto Catholic Children's Aid Society",119,Wexford/Maryvale,"Child Care,Family & Youth","Child Care, Youth & Family",Wexford/Maryvale,119
26,69794577,Catholic Children's Aid Society of Toronto - Child and Youth Services,"CAS; Catholic Childrens Aid Society; CCAS; CCAST; Children's Aid Society of Toronto, Catholic; CV19; Toronto Catholic Children's Aid Society",119,Wexford/Maryvale,"Child Care,Family & Youth","Child Care, Youth & Family",Wexford/Maryvale,119
